 Morbidade Hospitalar do SUS - por local de residência - Paraíba
Valor total por Município e Ano/mês processamento
Lista Morb  CID-10: Doença pelo vírus da imunodeficiência humana [HIV], Estado infec assint vírus da imunodef humana [HIV]
Período:2019-2024
"Município";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"Total"
"250080 ARACAGI";-;-;-;-;-;-;23,45;-;-;-;-;-;-;-;606,69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1311,34;-;-;-;-;-;-;-;-;609,40;943,96;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3799,09;-;-;15860,58;-;-;2644,50;-;-;-;-;-;-;662,69;-;-;26461,70
"250090 ARARA";-;-;-;-;-;-;-;-;-;-;636,63;-;-;-;-;-;-;-;-;-;-;4426,75;-;-;714,37;-;-;-;-;-;-;-;-;10091,53;-;-;-;-;-;-;-;-;-;-;-;-;-;2685,66;-;-;-;-;-;12462,54;15103,63;669,25;-;-;507,07;12733,71;545,02;1014,14;-;2810,58;1143,34;-;-;531,95;-;2369,99;-;-;68446,16
"250100 ARARUNA";938,60;593,31;-;-;454,07;-;-;-;-;-;-;-;-;-;-;-;-;866,84;-;-;-;-;-;1305,74;-;-;-;-;-;-;-;1076,74;-;-;-;-;-;-;1257,26;23,45;-;-;-;-;-;-;4217,70;-;-;-;-;-;-;-;-;1365,05;-;-;1921,76;-;-;-;-;-;3196,34;-;-;-;-;-;-;-;17216,86
"250110 AREIA";-;-;379,70;545,02;-;1125,46;-;-;-;-;3379,39;-;-;-;-;-;-;10192,49;-;-;-;-;-;-;-;-;-;-;-;606,69;-;-;-;-;-;-;-;-;-;-;-;-;-;1147,16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;606,69;-;-;-;-;-;-;-;-;-;-;-;-;-;17982,60
"250120 AREIAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2416,33;-;-;-;-;-;-;-;-;15602,64;-;-;-;-;-;-;1080,17;-;-;-;-;-;-;-;-;-;-;-;-;19099,14
"250130 AROEIRAS";-;-;-;-;-;-;6081,69;1802,04;-;998,64;-;-;-;-;-;-;-;748,19;-;-;-;-;-;-;-;1125,36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;349,19;-;-;-;-;-;-;-;611,20;1311,34;-;454,25;-;-;-;13481,90
"250135 ASSUNCAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9475,31;-;-;-;-;-;-;-;573,25;-;-;-;-;-;10048,56
"250140 BAIA DA TRAICAO";293,59;-;-;1530,20;3746,94;-;1498,84;-;900,28;-;-;-;714,85;2430,97;573,25;23,45;-;-;-;-;-;-;-;-;2664,18;55,85;1850,52;293,59;1216,73;-;6696,90;2529,41;23,45;-;-;1534,31;3380,74;23,45;-;-;6565,32;-;-;-;-;-;-;-;-;742,69;-;3298,52;-;28936,64;-;-;-;-;1163,98;-;-;-;-;-;-;-;-;-;-;-;-;-;72688,65
"250150 BANANEIRAS";1251,03;-;-;-;8975,35;606,69;-;-;8232,77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46,90;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;893,72;-;23,45;-;-;507,07;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20536,98
"250153 BARAUNA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6895,69;-;2418,38;1342,40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10656,47
"250160 BARRA DE SANTA ROSA";-;-;-;-;-;-;-;-;1229,53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1229,53
"250170 BARRA DE SAO MIGUEL";-;573,25;-;-;-;-;-;651,14;6074,56;-;2861,27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10160,22
"250180 BAYEUX";380,34;10410,12;10098,90;8844,29;5004,17;8256,74;4186,34;6848,70;7866,95;32897,17;2963,64;4347,92;3196,12;5285,16;713,67;3210,79;5817,32;4997,93;2534,34;-;-;-;2810,75;831,07;3111,02;8162,77;2455,23;7077,21;8036,60;15739,48;12509,16;4758,97;15885,87;945,49;5144,92;3871,63;6978,61;1301,36;3262,68;2121,30;4945,01;10517,15;6000,19;8013,81;10528,37;23104,40;18334,59;10611,27;18393,80;14372,74;6195,10;26786,45;19902,06;19980,77;3141,52;11972,46;7407,98;3043,59;4119,30;4128,98;3528,47;5770,94;-;3263,71;14203,92;7263,92;2178,18;6104,35;23428,69;18720,77;3780,53;7044,68;559652,43
"250190 BELEM";-;-;-;-;-;-;-;-;1117,34;-;-;23,45;23,45;-;748,19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;718,69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2631,12
"250200 BELEM DO BREJO DO CRUZ";-;-;-;-;331,54;5839,17;-;-;-;-;-;-;-;2768,43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8939,14
"250210 BOA VENTURA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;724,04;977,15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;897,34;-;2598,53
"250220 BOM JESUS";-;-;-;-;-;-;-;-;-;-;-;-;-;23,45;-;-;-;-;-;573,25;-;-;-;-;-;-;507,07;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;606,69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1710,46
"250230 BOM SUCESSO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23,45;-;-;23,45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46,90
"250240 BONITO DE SANTA FE";-;-;5288,45;-;573,25;-;677,77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1344,78;-;23,45;-;23,45;-;-;23,45;-;23,45;-;-;-;-;-;23,45;17583,52;23,45;-;-;-;-;-;-;1101,21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26709,68
"250250 BOQUEIRAO";-;545,02;-;-;-;-;-;-;-;-;-;-;-;-;749,60;4470,68;-;-;-;-;-;-;-;-;-;-;-;-;-;1531,75;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;868,70;-;-;-;13419,29;-;-;516,75;-;-;748,61;6123,05;-;-;-;-;28973,45
"250260 IGARACY";-;-;628,43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23,45;-;23,45;-;-;-;93,80;23,45;912,66;-;2646,13;-;-;70,35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;70,35;-;-;4492,07
"250270 BORBOREMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;606,69;606,69;-;-;-;293,59;-;1155,65;-;-;849,06;800,66;-;1038,34;-;-;-;-;-;-;-;800,66;-;-;507,07;-;1771,32;-;-;-;-;-;-;-;-;-;46590,29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55020,02
"250280 BREJO DO CRUZ";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1188,96;-;-;-;-;-;-;-;507,07;-;-;573,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20228,68;-;-;-;-;22497,96
"250300 CAAPORA";-;-;733,73;-;-;364,97;-;895,87;633,43;-;-;-;-;-;1128,80;-;2622,68;919,76;1069,74;-;-;12398,02;-;-;-;-;-;16930,99;-;-;-;-;-;935,94;-;23,45;-;-;-;-;800,66;-;23,45;46,90;-;23,45;12801,88;-;-;293,59;2933,13;15199,75;-;-;-;-;952,95;606,69;-;2716,98;-;-;-;-;-;-;-;-;-;-;-;-;75056,81
"250320 CABEDELO";1277,32;639,40;1922,63;2101,03;587,18;1125,08;620,15;1160,66;4051,44;573,25;606,69;3470,92;507,07;-;573,25;925,40;2807,43;-;2479,76;709,66;4027,17;4380,82;6279,04;507,07;2726,88;2215,77;3296,35;1886,69;1429,11;866,84;9021,76;23,45;46,90;1303,80;6781,46;1397,24;737,40;4714,81;1217,44;1265,55;32517,25;4910,99;3006,94;4546,57;7290,69;634,65;-;1999,63;23,45;-;606,69;1713,38;9219,10;1306,31;11189,52;13779,63;2028,03;6039,20;985,68;10294,33;2141,11;3059,38;4645,64;3445,06;4687,20;866,84;800,66;1440,09;563,07;1080,32;1203,39;13394,69;229683,36
"250330 CACHOEIRA DOS INDIOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;520,39;-;5904,63;-;-;-;-;-;-;-;-;-;-;-;-;3512,07;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9937,09
"250350 CACIMBA DE DENTRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;606,69;-;-;-;23,45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;333,59;-;-;-;-;-;-;-;-;-;-;-;313,65;-;-;-;1277,38
"250355 CACIMBAS";-;-;-;-;-;-;-;-;-;-;-;8327,30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8327,30
"250360 CAICARA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23,45;557,87;-;-;-;-;905,79;-;-;1550,89;-;-;4230,40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7268,40
"250370 CAJAZEIRAS";293,59;993,43;-;714,85;-;514,25;554,72;1014,14;-;-;611,20;-;-;23,45;-;-;-;-;98,46;-;3185,24;1014,14;1857,72;-;123,83;-;-;-;-;-;23,45;-;-;-;-;-;-;-;-;-;-;9459,92;-;-;-;-;-;-;-;-;-;-;-;-;-;1411,44;1080,32;-;-;-;378,72;-;-;-;-;2205,54;-;3632,61;-;16703,38;-;-;45894,40
"250380 CALDAS BRANDAO";-;-;-;573,25;-;-;23,45;573,25;576,28;1101,74;-;824,86;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1043,74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2472,64;-;-;-;-;1222,88;-;-;-;-;-;-;-;-;-;-;-;-;1224,04;-;1311,34;-;-;10947,47
"250400 CAMPINA GRANDE";7554,65;8745,73;2418,82;5753,01;6218,09;2566,38;13540,75;2140,08;3554,60;3934,39;9990,71;3615,27;1836,75;3362,58;18381,37;4456,60;2877,89;6816,20;2854,83;12225,85;16579,62;1595,86;1382,73;17629,82;7511,96;1530,69;1982,11;1521,89;4343,54;-;3866,42;-;7536,02;9057,78;3838,06;1491,36;9024,46;20214,06;2398,74;8477,78;1943,25;1370,60;4082,29;6095,25;4228,47;10061,37;3804,75;3147,41;3751,30;4245,93;852,75;2551,90;1974,57;737,51;3447,91;14657,67;9780,03;26830,73;10218,78;17568,09;24312,77;5517,06;16918,97;37596,27;10356,46;44472,75;15079,21;8263,88;14748,10;12198,76;11563,33;9139,00;584344,57
"250403 CAPIM";-;-;-;-;-;-;23,45;593,31;1093,74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23,45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23,45;46,90;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;900,28;-;-;-;-;-;-;-;2704,58
"250420 CATINGUEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1080,32;-;-;-;-;-;-;-;-;1080,32
"250430 CATOLE DO ROCHA";-;-;-;-;-;-;23,45;-;-;-;-;-;-;-;-;800,66;-;-;-;-;-;-;349,05;-;-;-;-;-;-;-;-;606,69;-;-;1113,76;-;-;-;1163,98;-;-;-;-;-;-;-;-;-;-;16485,88;-;-;1220,58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21764,05
"250440 CONCEICAO";-;-;-;-;-;-;-;4852,68;889,34;-;-;-;-;-;-;-;1179,94;-;-;-;-;-;-;-;-;-;-;-;-;15761,95;-;-;23,45;507,07;-;164,15;70,35;70,35;23,45;-;-;-;-;-;-;900,28;5463,57;-;-;-;-;23,45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29930,03
"250450 CONDADO";3776,21;-;573,25;-;-;-;-;800,66;-;-;3439,45;-;-;-;-;-;-;-;-;-;-;-;-;-;293,59;-;-;-;-;-;-;-;-;-;-;-;866,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1080,32;1410,96;800,66;1113,76;-;1910,26;-;-;-;-;-;-;16065,96
"250460 CONDE";293,59;293,59;293,59;1654,70;606,69;2009,41;-;9616,87;23,45;573,25;-;-;507,07;1684,83;373,83;-;824,11;983,82;900,28;2046,78;606,69;900,28;2093,26;-;606,69;-;70,35;-;553,97;23,45;1429,63;23,45;970,63;23,45;606,69;573,25;23,45;-;23,45;-;1307,73;2723,42;23,45;3579,57;-;-;-;-;31987,46;866,84;2757,99;2458,46;2999,32;1954,34;-;31572,72;387,54;6308,53;-;-;-;10199,42;293,59;3556,47;-;5922,58;-;1399,34;3229,78;1858,25;397,59;23,45;147022,39
"250490 CRUZ DO ESPIRITO SANTO";6310,43;-;-;573,25;606,69;3308,71;-;507,07;539,47;507,07;4708,49;507,07;-;-;-;-;-;1069,74;4665,91;-;507,07;-;-;-;-;-;2421,92;-;-;23,45;1258,65;-;-;-;1143,33;-;11131,75;-;-;1014,14;-;17003,10;507,07;2143,75;4329,59;-;1640,60;-;1372,74;-;-;507,07;975,17;-;-;-;1573,06;-;1439,24;-;293,59;293,59;-;873,19;2506,92;-;1137,96;-;2527,71;-;-;-;79928,56
"250500 CUBATI";-;-;-;-;-;-;-;-;-;-;-;-;293,59;573,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1040,73;84,16;-;-;-;-;-;-;-;-;-;-;-;-;-;6143,09;-;-;-;-;-;-;-;914,71;-;-;-;-;-;-;-;-;-;-;-;-;9049,53
"250510 CUITE";1377,44;1879,58;-;-;-;-;866,84;1573,06;-;-;-;761,31;-;-;-;-;-;-;-;-;606,69;-;-;-;-;-;-;-;-;-;23,45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7088,37
"250520 CUITEGI";-;-;670,69;-;573,25;-;1178,13;-;-;-;-;-;3981,14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;545,02;-;-;-;-;-;-;-;-;-;573,25;-;-;-;-;-;-;-;-;-;-;-;-;2882,04;-;-;-;-;-;-;-;-;-;-;-;-;-;10403,52
"250523 CUITE DE MAMANGUAPE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3260,44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3260,44
"250527 CURRAL DE CIMA";-;-;-;-;-;-;-;993,07;-;-;-;-;-;-;-;-;573,25;-;-;-;-;-;-;-;-;-;-;-;-;-;1539,42;-;-;-;-;1637,21;-;-;-;-;666,87;-;-;-;-;-;-;-;-;-;-;-;-;1811,70;-;-;-;-;-;-;-;-;-;-;-;766,27;-;-;-;-;-;-;7987,79
"250530 CURRAL VELHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;900,28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;900,28
"250535 DAMIAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;560,55;-;-;-;-;-;-;-;-;-;-;-;-;-;630,58;-;-;-;1191,13
"250560 DIAMANTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1209,11;-;-;1209,11
"250570 DONA INES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1573,65;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;787,85;1505,74;-;-;1307,73;507,07;-;507,07;507,07;-;3573,87;-;-;10270,05
"250600 ESPERANCA";-;573,25;2569,29;-;3324,02;605,12;-;-;1346,48;432,22;-;2619,94;4084,64;1416,46;-;-;-;-;-;747,61;-;710,48;-;-;-;-;-;-;-;-;-;-;-;-;-;1051,97;-;-;-;10121,83;-;-;-;1059,91;-;-;985,95;-;-;-;-;-;-;-;293,59;-;-;-;-;5321,98;2317,34;1410,18;709,66;-;-;-;-;1250,00;649,16;-;-;-;43601,08
"250610 FAGUNDES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1029,36;-;-;617,02;1605,86;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;736,14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;595,07;-;726,69;-;893,59;-;-;-;-;-;-;-;-;-;-;-;-;-;6203,73
"250630 GUARABIRA";293,59;2501,45;331,54;1980,60;3732,08;324,85;-;9197,10;5624,29;606,69;1371,33;900,28;1718,55;1797,25;2843,97;1203,39;8882,88;22459,66;1112,72;3069,65;-;2103,94;1663,52;-;955,91;3128,04;573,25;-;-;23,45;1466,16;25663,71;-;2065,01;1555,20;1113,76;23,45;23,45;1150,02;653,59;-;1469,12;78193,35;11143,09;1031,95;-;-;2293,02;1104,52;595,07;-;11847,79;23,45;-;2477,05;-;3860,69;1198,38;1990,57;2852,79;573,25;-;-;1014,14;-;605,65;-;831,07;1311,34;1200,82;602,52;3288,26;241622,22
"250640 GURINHEM";-;-;-;-;-;-;313,65;-;-;-;-;-;-;596,70;-;-;-;-;-;-;-;507,07;1126,04;-;-;-;23,45;23,45;-;23,45;-;-;93,80;-;-;-;-;-;-;-;1342,60;-;507,07;1014,14;-;-;-;-;-;-;-;774,69;-;-;11926,29;-;-;1209,01;-;-;1172,98;1840,45;-;-;1172,18;-;-;-;-;-;-;773,47;24440,49
"250650 GURJAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1290,49;-;-;-;-;-;-;-;-;-;-;-;-;-;1290,49
"250670 IMACULADA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;824,11;526,17;-;606,69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1956,97
